model,model_index,params_b,family,horizon,seed,context_strategy,CodeDriftScore,SSR_final,CCS_final,SSFR_any,SSFR_critical,CHL,TSS,TestPassRate,ConflictResistance
baseline:do_nothing,0,0.0,baseline,10,1,active_constraints,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,1,no_anchor,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,1,repeated_spec,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,active_constraints,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,no_anchor,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,repeated_spec,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,3,active_constraints,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,3,no_anchor,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,3,repeated_spec,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,4,active_constraints,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,4,no_anchor,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,4,repeated_spec,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,5,active_constraints,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,5,no_anchor,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,5,repeated_spec,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,25,1,active_constraints,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,25,1,no_anchor,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,25,1,repeated_spec,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,25,2,active_constraints,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,25,2,no_anchor,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,25,2,repeated_spec,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,25,3,active_constraints,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,25,3,no_anchor,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,25,3,repeated_spec,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,25,4,active_constraints,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,25,4,no_anchor,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,25,4,repeated_spec,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,25,5,active_constraints,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,25,5,no_anchor,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,25,5,repeated_spec,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,50,1,active_constraints,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,50,1,no_anchor,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,50,1,repeated_spec,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,50,2,active_constraints,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,50,2,no_anchor,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,50,2,repeated_spec,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,50,3,active_constraints,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,50,3,no_anchor,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,50,3,repeated_spec,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,50,4,active_constraints,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,50,4,no_anchor,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,50,4,repeated_spec,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,50,5,active_constraints,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,50,5,no_anchor,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,50,5,repeated_spec,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,10,1,active_constraints,0.63575,0.71,0.71,0.4,0.4,7.8,0.5225,0.7,0.6
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,10,1,no_anchor,0.489,0.54,0.54,0.1,0.1,6.8,0.41000000000000003,0.45,0.55
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,10,1,repeated_spec,0.736,0.8200000000000001,0.8200000000000001,0.2,0.2,9.8,0.66,0.7,0.7
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,10,2,active_constraints,0.63575,0.71,0.71,0.4,0.4,7.8,0.5225,0.7,0.6
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,10,2,no_anchor,0.489,0.54,0.54,0.1,0.1,6.8,0.41000000000000003,0.45,0.55
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,10,2,repeated_spec,0.736,0.8200000000000001,0.8200000000000001,0.2,0.2,9.8,0.66,0.7,0.7
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,10,3,active_constraints,0.63575,0.71,0.71,0.4,0.4,7.8,0.5225,0.7,0.6
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,10,3,no_anchor,0.489,0.54,0.54,0.1,0.1,6.8,0.41000000000000003,0.45,0.55
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,10,3,repeated_spec,0.736,0.8200000000000001,0.8200000000000001,0.2,0.2,9.8,0.66,0.7,0.7
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,10,4,active_constraints,0.63575,0.71,0.71,0.4,0.4,7.8,0.5225,0.7,0.6
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,10,4,no_anchor,0.489,0.54,0.54,0.1,0.1,6.8,0.41000000000000003,0.45,0.55
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,10,4,repeated_spec,0.736,0.8200000000000001,0.8200000000000001,0.2,0.2,9.8,0.66,0.7,0.7
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,10,5,active_constraints,0.63575,0.71,0.71,0.4,0.4,7.8,0.5225,0.7,0.6
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,10,5,no_anchor,0.489,0.54,0.54,0.1,0.1,6.8,0.41000000000000003,0.45,0.55
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,10,5,repeated_spec,0.736,0.8200000000000001,0.8200000000000001,0.2,0.2,9.8,0.66,0.7,0.7
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,25,1,active_constraints,0.626,0.71,0.71,0.4,0.4,16.8,0.5,0.68,0.6
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,25,1,no_anchor,0.46147499999999997,0.54,0.54,0.12,0.12,12.8,0.352,0.4,0.5325
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,25,1,repeated_spec,0.7246,0.8200000000000001,0.8200000000000001,0.24,0.24,21.8,0.632,0.68,0.7
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,25,2,active_constraints,0.626,0.71,0.71,0.4,0.4,16.8,0.5,0.68,0.6
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,25,2,no_anchor,0.46147499999999997,0.54,0.54,0.12,0.12,12.8,0.352,0.4,0.5325
qwen2.5-coder:0.5b,1,0.5,qwen2.5-coder,25,2,repeated_spec,0.7246,0.8200000000000001,0.8200000000000001,0.24,0.24,21.8,0.632,0.68,0.7
