model,params_b,horizon,context_strategy,task_family,n,CodeDriftScore,SSR_final,CCS_final,SSFR_any,SSFR_critical,CHL,TSS,TestPassRate,ConflictResistance
baseline:do_nothing,0.0,10,active_constraints,config_parser,5,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0.0,10,active_constraints,csv_schema,5,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0.0,10,active_constraints,path_sanitizer,5,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0.0,10,active_constraints,todo_cli,5,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0.0,10,active_constraints,token_redactor,5,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0.0,10,no_anchor,config_parser,5,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0.0,10,no_anchor,csv_schema,5,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0.0,10,no_anchor,path_sanitizer,5,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0.0,10,no_anchor,todo_cli,5,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0.0,10,no_anchor,token_redactor,5,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0.0,10,repeated_spec,config_parser,5,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0.0,10,repeated_spec,csv_schema,5,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0.0,10,repeated_spec,path_sanitizer,5,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0.0,10,repeated_spec,todo_cli,5,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0.0,10,repeated_spec,token_redactor,5,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0.0,25,active_constraints,config_parser,5,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0.0,25,active_constraints,csv_schema,5,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0.0,25,active_constraints,path_sanitizer,5,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0.0,25,active_constraints,todo_cli,5,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0.0,25,active_constraints,token_redactor,5,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0.0,25,no_anchor,config_parser,5,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0.0,25,no_anchor,csv_schema,5,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0.0,25,no_anchor,path_sanitizer,5,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0.0,25,no_anchor,todo_cli,5,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0.0,25,no_anchor,token_redactor,5,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0.0,25,repeated_spec,config_parser,5,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0.0,25,repeated_spec,csv_schema,5,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0.0,25,repeated_spec,path_sanitizer,5,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0.0,25,repeated_spec,todo_cli,5,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0.0,25,repeated_spec,token_redactor,5,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0
baseline:do_nothing,0.0,50,active_constraints,config_parser,5,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0.0,50,active_constraints,csv_schema,5,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0.0,50,active_constraints,path_sanitizer,5,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0.0,50,active_constraints,todo_cli,5,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0.0,50,active_constraints,token_redactor,5,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0.0,50,no_anchor,config_parser,5,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0.0,50,no_anchor,csv_schema,5,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0.0,50,no_anchor,path_sanitizer,5,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
baseline:do_nothing,0.0,50,no_anchor,todo_cli,5,1.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0
