model,model_index,params_b,family,horizon,seed,context_strategy,task_family,CodeDriftScore,SSR_final,CCS_final,SSFR_any,SSFR_critical,CHL,TSS,TestPassRate,ConflictResistance
baseline:do_nothing,0,0.0,baseline,10,1,active_constraints,todo_cli,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,1,active_constraints,token_redactor,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,1,active_constraints,config_parser,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,1,active_constraints,path_sanitizer,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,1,active_constraints,csv_schema,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,1,no_anchor,todo_cli,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,1,no_anchor,token_redactor,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,1,no_anchor,config_parser,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,1,no_anchor,path_sanitizer,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,1,no_anchor,csv_schema,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,1,repeated_spec,todo_cli,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,1,repeated_spec,token_redactor,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,1,repeated_spec,config_parser,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,1,repeated_spec,path_sanitizer,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,1,repeated_spec,csv_schema,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,active_constraints,todo_cli,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,active_constraints,token_redactor,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,active_constraints,config_parser,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,active_constraints,path_sanitizer,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,active_constraints,csv_schema,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,no_anchor,todo_cli,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,no_anchor,token_redactor,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,no_anchor,config_parser,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,no_anchor,path_sanitizer,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,no_anchor,csv_schema,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,repeated_spec,todo_cli,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,repeated_spec,token_redactor,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,repeated_spec,config_parser,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,repeated_spec,path_sanitizer,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,2,repeated_spec,csv_schema,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,3,active_constraints,todo_cli,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,3,active_constraints,token_redactor,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,3,active_constraints,config_parser,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,3,active_constraints,path_sanitizer,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,3,active_constraints,csv_schema,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,3,no_anchor,todo_cli,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,3,no_anchor,token_redactor,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,3,no_anchor,config_parser,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,3,no_anchor,path_sanitizer,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,3,no_anchor,csv_schema,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,3,repeated_spec,todo_cli,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
baseline:do_nothing,0,0.0,baseline,10,3,repeated_spec,token_redactor,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0
