model,seed,task,strategy,n,first_horizon,last_horizon,first_feature_score,last_feature_score,feature_delta,feature_slope,first_legacy_score,last_legacy_score,legacy_delta,legacy_slope,first_spec_score,last_spec_score,spec_delta,spec_slope,ssfr_early,ssfr_late,ssfr_delta,feature_auc,legacy_auc,spec_auc,ssfr_auc,infra_clean_all,convergence_class
baseline:copy,1,config_timeout,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,1,config_timeout,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,1,redactor_aws,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,1,redactor_aws,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,1,todo_done_filter,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,1,todo_done_filter,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,1,todo_tags,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,1,todo_tags,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,2,config_timeout,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,2,config_timeout,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,2,redactor_aws,active_constraints,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
baseline:copy,2,redactor_aws,no_anchor,3,5,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,True,silent_plateau
