model,seed,task,strategy,horizon,legacy_score,feature_score,hygiene_score,spec_score,silent_spec_failure,failure_count
baseline:copy,1,todo_tags,no_anchor,1,1.0,0.0,1.0,0.6,True,2
baseline:copy,1,todo_tags,no_anchor,3,1.0,0.0,1.0,0.6,True,3
baseline:copy,1,todo_tags,no_anchor,5,1.0,0.0,1.0,0.6,True,3
baseline:copy,1,todo_done_filter,no_anchor,1,1.0,0.0,1.0,0.6,True,2
baseline:copy,1,todo_done_filter,no_anchor,3,1.0,0.0,1.0,0.6,True,3
baseline:copy,1,todo_done_filter,no_anchor,5,1.0,0.0,1.0,0.6,True,3
qwen2.5-coder:1.5b,1,todo_tags,no_anchor,1,1.0,0.0,1.0,0.6,True,2
qwen2.5-coder:1.5b,1,todo_tags,no_anchor,3,1.0,0.0,1.0,0.6,True,3
qwen2.5-coder:1.5b,1,todo_tags,no_anchor,5,1.0,0.0,1.0,0.6,True,3
qwen2.5-coder:1.5b,1,todo_done_filter,no_anchor,1,1.0,0.0,1.0,0.6,True,2
qwen2.5-coder:1.5b,1,todo_done_filter,no_anchor,3,1.0,0.3333333333333333,1.0,0.7333333333333333,True,2
qwen2.5-coder:1.5b,1,todo_done_filter,no_anchor,5,1.0,0.3333333333333333,1.0,0.7333333333333333,True,2
